epoch,recon_mse,lr
228,0.005659,9.69e-06
229,0.005652,9.69e-06
230,0.005664,9.69e-06
231,0.005640,9.69e-06
232,0.005658,9.68e-06
233,0.005647,9.68e-06
234,0.005629,9.68e-06
235,0.005646,9.68e-06
236,0.005623,9.67e-06
237,0.005620,9.67e-06
238,0.005646,9.67e-06
239,0.005593,9.66e-06
240,0.005568,9.66e-06
241,0.005578,9.66e-06
242,0.005550,9.66e-06
243,0.005529,9.65e-06
244,0.005527,9.65e-06
245,0.005523,9.65e-06
246,0.005518,9.64e-06
247,0.005514,9.64e-06
248,0.005509,9.64e-06
249,0.005501,9.64e-06
250,0.005489,9.63e-06
251,0.005477,9.63e-06
252,0.005478,9.63e-06
253,0.005490,9.62e-06
254,0.005467,9.62e-06
255,0.005468,9.62e-06
256,0.005487,9.61e-06
257,0.005484,9.61e-06
258,0.005473,9.61e-06
259,0.005432,9.61e-06
260,0.005424,9.60e-06
261,0.005408,9.60e-06
262,0.005418,9.60e-06
263,0.005378,9.59e-06
264,0.005379,9.59e-06
265,0.005390,9.59e-06
266,0.005397,9.58e-06
267,0.005431,9.58e-06
268,0.005392,9.58e-06
269,0.005342,9.57e-06
270,0.005330,9.57e-06
271,0.005342,9.57e-06
272,0.005348,9.56e-06
273,0.005335,9.56e-06
274,0.005327,9.56e-06
275,0.005296,9.55e-06
276,0.005283,9.55e-06
277,0.005294,9.55e-06
278,0.005271,9.55e-06
279,0.005279,9.54e-06
280,0.005290,9.54e-06
281,0.005260,9.54e-06
282,0.005244,9.53e-06
283,0.005236,9.53e-06
284,0.005225,9.53e-06
285,0.005232,9.52e-06
286,0.005231,9.52e-06
287,0.005232,9.52e-06
288,0.005243,9.51e-06
289,0.005243,9.51e-06
290,0.005239,9.50e-06
291,0.005271,9.50e-06
292,0.005261,9.50e-06
293,0.005218,9.49e-06
294,0.005233,9.49e-06
295,0.005189,9.49e-06
296,0.005187,9.48e-06
297,0.005174,9.48e-06
298,0.005172,9.48e-06
299,0.005160,9.47e-06
300,0.005172,9.47e-06
301,0.005163,9.47e-06
302,0.005155,9.46e-06
303,0.005127,9.46e-06
304,0.005137,9.46e-06
305,0.005123,9.45e-06
306,0.005141,9.45e-06
307,0.005118,9.45e-06
308,0.005124,9.44e-06
309,0.005100,9.44e-06
310,0.005077,9.43e-06
311,0.005090,9.43e-06
312,0.005091,9.43e-06
313,0.005074,9.42e-06
314,0.005064,9.42e-06
315,0.005063,9.42e-06
316,0.005081,9.41e-06
317,0.005075,9.41e-06
318,0.005069,9.40e-06
319,0.005049,9.40e-06
320,0.005086,9.40e-06
321,0.005079,9.39e-06
322,0.005063,9.39e-06
323,0.005070,9.39e-06
324,0.005047,9.38e-06
325,0.005056,9.38e-06
326,0.005026,9.37e-06
327,0.005001,9.37e-06
328,0.004989,9.37e-06
329,0.004996,9.36e-06
330,0.004988,9.36e-06
331,0.004983,9.36e-06
332,0.004992,9.35e-06
333,0.004973,9.35e-06
334,0.004952,9.34e-06
335,0.004965,9.34e-06
336,0.004959,9.34e-06
337,0.004937,9.33e-06
338,0.004953,9.33e-06
339,0.004980,9.32e-06
340,0.004957,9.32e-06
341,0.004956,9.32e-06
342,0.004969,9.31e-06
343,0.004968,9.31e-06
344,0.004966,9.30e-06
345,0.004992,9.30e-06
346,0.004935,9.30e-06
347,0.004925,9.29e-06
348,0.004918,9.29e-06
349,0.004906,9.28e-06
350,0.004892,9.28e-06
351,0.004886,9.28e-06
352,0.004904,9.27e-06
353,0.004891,9.27e-06
354,0.004878,9.26e-06
355,0.004891,9.26e-06
356,0.004876,9.26e-06
357,0.004861,9.25e-06
358,0.004884,9.25e-06
359,0.004877,9.24e-06
360,0.004860,9.24e-06
361,0.004858,9.23e-06
362,0.004851,9.23e-06
363,0.004851,9.23e-06
364,0.004843,9.22e-06
365,0.004826,9.22e-06
366,0.004817,9.21e-06
367,0.004820,9.21e-06
368,0.004820,9.21e-06
369,0.004809,9.20e-06
370,0.004819,9.20e-06
371,0.004819,9.19e-06
372,0.004797,9.19e-06
373,0.004802,9.18e-06
374,0.004824,9.18e-06
375,0.004811,9.18e-06
376,0.004801,9.17e-06
377,0.004816,9.17e-06
378,0.004806,9.16e-06
379,0.004829,9.16e-06
380,0.004846,9.15e-06
381,0.004800,9.15e-06
382,0.004826,9.14e-06
383,0.004789,9.14e-06
384,0.004770,9.14e-06
385,0.004762,9.13e-06
386,0.004752,9.13e-06
387,0.004773,9.12e-06
388,0.004732,9.12e-06
389,0.004720,9.11e-06
390,0.004730,9.11e-06
391,0.004719,9.10e-06
392,0.004711,9.10e-06
393,0.004721,9.10e-06
394,0.004700,9.09e-06
395,0.004717,9.09e-06
396,0.004709,9.08e-06
397,0.004727,9.08e-06
398,0.004729,9.07e-06
399,0.004723,9.07e-06
400,0.004720,9.06e-06
401,0.004700,9.06e-06
402,0.004707,9.05e-06
403,0.004719,9.05e-06
404,0.004695,9.05e-06
405,0.004704,9.04e-06
406,0.004701,9.04e-06
407,0.004695,9.03e-06
408,0.004680,9.03e-06
409,0.004661,9.02e-06
410,0.004673,9.02e-06
411,0.004649,9.01e-06
412,0.004646,9.01e-06
413,0.004664,9.00e-06
414,0.004636,9.00e-06
415,0.004632,8.99e-06
416,0.004615,8.99e-06
417,0.004618,8.98e-06
418,0.004661,8.98e-06
419,0.004637,8.97e-06
420,0.004622,8.97e-06
421,0.004611,8.96e-06
422,0.004618,8.96e-06
423,0.004616,8.96e-06
424,0.004601,8.95e-06
425,0.004604,8.95e-06
426,0.004612,8.94e-06
427,0.004600,8.94e-06
428,0.004585,8.93e-06
